web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1584087161-2057","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Michael Mobley","It got boring quickly and felt forced","Reviewed in the United States on February 27, 2017","I've yet to bother finishing this book.  It got boring quickly and felt forced.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_14?ie=UTF8&filterByStar=two_star&pageNumber=14&reviewerType=all_reviews&sortBy=recent"
"1584087185-2164","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Carol R.","This was an actual theatrical production? Seriously???","Reviewed in the United States on November 21, 2016","First of all, let me say that I""m a Harry Potter Fan. Period. Second of all, I need to make clear that I was reading this as a theatre person. I've acted, directed, and done every job backstage. My mind was boggled at the shortness of the scenes and the necessity for quick set changes. How the hell this was ever produced on any stage is beyond my comprehension!! It obviously was, and I'd be interested in reading any reviews of the production. Oh, and the story was rather inane and disappointing....","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&filterByStar=two_star&pageNumber=25&reviewerType=all_reviews&sortBy=recent"
"1584087271-2550","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Amazon Customer","Disappointing","Reviewed in the United States on September 6, 2016","I was ready for so much more. I hated reading this as a play - act by act. I'd imagined the continuation of the story and a whiny ""why me"" did not hit the spot. I have read better fan fiction on JK Rowling blogs.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&filterByStar=two_star&pageNumber=63&reviewerType=all_reviews&sortBy=recent"
"1584087170-2091","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Hutch","It's not very good","Reviewed in the United States on January 10, 2017","The format didn't bother me at all. I expected it b/c they never marketed this as a new HP book but it was marketed as a new HP play script. That being said, the story is just bad. It's not very good. It's boring and is very much recycled from a previous HP book. I'm sure seeing the actual play would be 100% better, but I can't even say that b/c the story is recycled material. I wish I would have gone with my gut and ignored this.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&filterByStar=two_star&pageNumber=18&reviewerType=all_reviews&sortBy=recent"
"1584087280-2588","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","sailinguy","Not what I thought when I bought","Reviewed in the United States on August 30, 2016","One would get the impression that this was written by JK Rowling from the cover and the hype.  But that's not the case.....I'm not sure how her name got on the cover.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&filterByStar=two_star&pageNumber=67&reviewerType=all_reviews&sortBy=recent"
"1584087210-2280","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Red Dog","It looks like she took the easy way out to make more ...","Reviewed in the United States on October 9, 2016","It is the script for a play not book to read.  Rowling should have rewritten it, if she wanted to publish it as a book.  It looks like she took the easy way out to make more money.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&filterByStar=two_star&pageNumber=36&reviewerType=all_reviews&sortBy=recent"
"1584087178-2135","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","bbabs0331","Two Stars","Reviewed in the United States on December 12, 2016","didn't like the script form it was written.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&filterByStar=two_star&pageNumber=22&reviewerType=all_reviews&sortBy=recent"
"1584087360-2940","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","John Peaveler","Urgent need for first review as 15 year customer","Reviewed in the United States on August 4, 2016","So disappointed. This isn't a book, it's a play. Probably a good play, but my strong desire to read the book died when I opened it. This play may be fantastic, but it's not the 9th book.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_102?ie=UTF8&filterByStar=two_star&pageNumber=102&reviewerType=all_reviews&sortBy=recent"
"1584087316-2748","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Amazon Customer","*no spoilers* I'm no genius but what the heck did I just read.","Reviewed in the United States on August 13, 2016","Like every one else here that has been leaving reviews, I'm the quintessential HP fan that could pick up any of the original seven books at any given time and devour it like a ravenous animal. So when I spied my sister's copy left unattended on the coffee table, I swooped upon it at nine in the evening and it stayed in my clutches until about midnight, when I turned the last page and finally went to bed. But, this story was not like the others at all. I was happy to pick it up at first, but I was just as happy to put it down and never pick it up again. I expected the script format and that did not bother me. But once again, I will echo a lot of other reviewers on here with two words: fan fiction. Except, this is considered canon (?!) and I find that pretty disappointing. I don't have a lot of time to write this review so I'll just hit on the big points.

To start, the CHARACTERS. Perhaps one could argue this has something to do with the script format, and I wouldn't necessarily disagree, but have mercy they are all shadows of their former glory. Some of the stuff that goes on in this story is downright cliched and Mary-Sueish. I was literally making weird, disgusted faces while I read it and wondering how Rowling ok'd any of this. Again, it was like reading fan fiction where the author is rushing you past the bits with the old characters and thus turning them into cartoons for the sake of convenience, because goodness knows all the shiny new characters are where the action is at! To be fair, I don't think the new characters bothered me much, but honestly it's hard to pay attention when the rest of the characters have all been transformed into Picasso paintings. This might not bother everyone else to the same degree, as I'm super sensitive to this. Characters are a big selling point with me, and they're the thing I loved must about the HP universe. The fact that the HP world and plot was equally as colorful and engaging were both big pluses, but the most well-structured world and riveting plot will fall flat without characters to match, in my opinion.

Which leads me to the next complaint... what the heck is up with this horrible, over-used plot? This is canon, really?! Oh my goodness, so disappointing. At the big ""reveal"" scene, where you finally figure out what has been going on the whole time, I was thinking ""ah hah!"" for one second (yes, I was a little excited, in spite of all the previous let-downs) and then as it sunk in I thought ""Wait, what? *rereads* Seriously?"". I don't want to delve in any further so I can maintain the lack of spoilers, but wow, did that leave a bitter taste in my mouth. Again, Rowling... where were you? I think the most surprising thing of all about that plot twist is that something so banal popped up in a Harry Potter book... sad! To be fair, there are some points to the plot that are intriguing and well thought-out, or at least okay, and they keep you reading. But after that big plot twist, it is like watching a balloon deflate. It squeals and shoots in every direction until at long last it lands on the ground and heaves out its final, pitiful breath on the last page. And if you're anything like me, you close the book, stare into space for a second and think of the title of this review.

This overall quality of the writing in this book could probably be good in some other series (barring the plot holes... plot holes are not cool), but when you're talking Harry Potter, the bar is raised pretty darned high, and this falls woefully short. If it actually were fan fiction, I wouldn't care, but this book is canon now and that is something I find difficult to accept.

One star because heck, I still read the whole thing, and another star only because it centers around Slytherins and in theory that should be a nice change of pace, even though it had terrible execution as a whole.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_83?ie=UTF8&filterByStar=two_star&pageNumber=83&reviewerType=all_reviews&sortBy=recent"
"1584087146-1981","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Rebekka angela Gronvall","Not a HP book","Reviewed in the United States on November 13, 2017","So im giving it two stars, only because if i had not read any of the previous books, i would have thought it a small, funny kind of book. The script form takes some getting used to, but is not to distracting.
The phrases, conversations and words are simply to childish. The characters that we all love is a letdown and changed to much to recognize.
Like many others write, its more of a fanfiction book, with plotholes, uninteresting characters and not very good writing. The magic from J K is just not there. Read it, but dont expect the HP experience and magic.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=two_star&pageNumber=7&reviewerType=all_reviews&sortBy=recent"
"1584087296-2657","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Gary Little","Harry Potter reboot","Reviewed in the United States on August 22, 2016","Albus and Scorpius stand in for Harry and Ron. There are so many places it tried to go, but never quite got there, and then along comes the savior of all, the Time-Turner, and then things got really stupid.

I was truly disappointed.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_74?ie=UTF8&filterByStar=two_star&pageNumber=74&reviewerType=all_reviews&sortBy=recent"
"1584087151-2009","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","wlg","Two Stars","Reviewed in the United States on July 12, 2017","Meh. It's not much. It's more of a play/script, too.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=two_star&pageNumber=9&reviewerType=all_reviews&sortBy=recent"
"1584087344-2867","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Toni House","So broken Hearted.","Reviewed in the United States on August 6, 2016","So heart broken.  I purchased the book at  a local Independent book store. I paid the full price of $29.99 hard cover. I try to support all Independent Book Stores and the only reason I bring up the price is because I would not have paid any price for this book. I knew it was a play but I am so disappointed. JK didn't write this. Where is the family that Harry so desperately wanted?. Where is the love of friendship? and helping and fighting for each other no matter what?.

I love Harry Potter, I have all the original books all the dvd's and still read those books and watch those dvd's even now.  But, don't expect this play to be anywhere near the same. Because it's not. I am so sad, sad, sad.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_95?ie=UTF8&filterByStar=two_star&pageNumber=95&reviewerType=all_reviews&sortBy=recent"
"1584087197-2211","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Paola Rocha","It looks like used not even had a plastic to cover the ...","Reviewed in the United States on October 24, 2016","It looks like used not even had a plastic to cover the book I wish to send it back but it was for a present","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_30?ie=UTF8&filterByStar=two_star&pageNumber=30&reviewerType=all_reviews&sortBy=recent"
"1584087221-2321","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","TheAmazingLeper","Disappointed Fan's Musings","Reviewed in the United States on October 4, 2016","I'm a fan of the originals & always will be, but his book should've been a series or a trilogy.  As is, it's incredibly rushed.  It's bare-bones plot and contains none of the quirky, loving details that made those first seven books so spectacular.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_41?ie=UTF8&filterByStar=two_star&pageNumber=41&reviewerType=all_reviews&sortBy=recent"
"1584087181-2142","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Joseph M. Reninger","Wait for it to come as a play or when it is made into a movie","Reviewed in the United States on December 6, 2016","It's nineteen years later and Harry Potter is a grown man with three children ready to head off to Hogwarts. His eldest son, Albus Severus Potter, isn't that great at magic, gets sorted into Slytherin, and becomes best friends with Draco Malfoy's son Scorpius. Albus is lost in the shadow of his famous father and a bit of a disappointment to everyone around (except Scorpius). Harry is beleaguered both by Draco, who wants Harry to squash rumors that Scorpius is really the son of Voldemort, and by Amos Diggory, who blames Harry for his son Cedric's death during the TriWizard Tournament way back in Harry Potter and the Goblet of Fire. In an attempt to impress his dad, Albus and Scorpius steal a Time Turner from the Ministry of Magic and, with the help of Amos's niece Delphi, tries to save Cedric's life. As with most time travel stories, going back in the past to make things better inevitably makes them worse.

While the story itself is interesting enough (though average to poor by Harry Potter standards), the book suffers from being a script. A lot of the stage direction and action seems hard if not impossible to produce on stage. For example, Polyjuice Potion is used to change one character into another. There are a lot of locations and magical fights that are hard to picture as convincing on the stage. An early montage sequence where Albus ages a few years is less effective because I wondered how they could possibly pull it off convincingly. The experience of seeing a production and how impressively they handle things would be much better than reading and scratching one's head at the improbability of executing it well.

I would much rather have read the original story than the play version of the story. Reading a play is a lesser experience precisely because the play is supposed to be produced on a stage with actors, costumes, sets, et cetera. It's like reading sheet music rather than listening to a song. The full experience just isn't there. Of course, the execution of the song could be wonderful or horrible depending on the performer's skills (or lack thereof). A novel version of this story would be better for me because I'd rely on imagining the story rather than imagining it as a stage production.

My advice would be to wait around for a production to come to a city near you or wait for a novel version or the probably inevitable movie version.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&filterByStar=two_star&pageNumber=23&reviewerType=all_reviews&sortBy=recent"
"1584087146-1982","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Patricia A Patterson","Two Stars","Reviewed in the United States on November 7, 2017","I cannot follow time travel and I was lost!","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=two_star&pageNumber=7&reviewerType=all_reviews&sortBy=recent"
"1584087344-2862","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=two_star","Jessie","A real curse","Reviewed in the United States on August 6, 2016","The good: it's a quick read.
The bad: The more I thought about the book after I finished the more gapping plot holes I noticed, butchered characters portrayal, and poor writing.

It reads like bad fan fiction.","2.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_95?ie=UTF8&filterByStar=two_star&pageNumber=95&reviewerType=all_reviews&sortBy=recent"
